submission_id,problem,tags,match_success,matched_tags,error_match,error_tags
35393,586A,implementation,True,implementation,False,
19768,584A,math,False,,True,implementation
15926,583A,implementation,True,implementation,False,
31543,585A,brute force;implementation,False,,True,data structures
11549,582B,constructive algorithms;dp;matrices,True,dp,False,
1,581B,implementation;math,True,implementation,False,
16001,583B,greedy;implementation,True,greedy,False,
19821,584B,combinatorics,False,,False,
3,581A,implementation;math,False,,False,
6,581C,implementation;math;sortings,True,implementation,False,
11501,582A,constructive algorithms;greedy;number theory,False,,False,
11553,582C,number theory,False,,True,brute force;strings
11776,582D,dp;math;number theory,False,,False,
20122,584E,constructive algorithms;greedy;math,True,greedy,False,
19829,584D,brute force;math;number theory,False,,False,
43242,587E,data structures,False,,False,
17873,583E,number theory,False,,True,string suffix structures;brute force;implementation
45970,588C,,False,,True,greedy
35394,586B,implementation,True,implementation,False,
87,581D,bitmasks;brute force;constructive algorithms;geometry;implementation;math,False,,True,expression parsing
16181,583C,constructive algorithms;number theory,False,,True,implementation
16484,583D,constructive algorithms;dp,True,dp,False,
31790,585C,number theory,False,,True,divide and conquer;implementation
35453,586C,implementation,False,,False,
55246,589I,,,,,
55503,589C,,,,,
31644,585E,combinatorics;math;number theory,False,,True,bitmasks
75920,592B,math,False,,False,
43205,587A,greedy,True,greedy,True,implementation
56363,589E,,,,,
43241,587B,dp,True,dp,False,
55387,589A,,,,,
55271,589B,,,,,
64088,590D,dp,False,,False,
55395,589H,,,,,
55393,589D,,,,,
69382,591A,implementation;math,False,,False,
69622,591C,constructive algorithms;implementation,True,implementation,False,
64065,590A,implementation,True,implementation,False,
56242,589K,,,,,
75817,592A,implementation,False,,False,
46775,588D,,False,,True,dp
69337,591B,implementation;strings,True,implementation,False,
91549,594B,binary search;geometry,False,,False,
96634,595A,constructive algorithms;implementation,False,,False,
76824,592E,binary search;geometry;two pointers,False,,False,
108733,597A,math,False,,False,
55394,589G,,,,,
84059,593B,geometry;sortings,False,,True,implementation
83937,593E,dp;matrices,True,dp,False,
101612,596B,greedy;implementation,False,,False,
112081,598B,implementation;strings,False,,False,
69584,591E,dfs and similar;graphs;shortest paths,True,dfs and similar,True,dsu
96588,595C,games,False,,False,
112112,598A,math,False,,False,
91551,594C,brute force;greedy;implementation;two pointers,False,,False,
83873,593A,brute force;implementation,False,,False,
118342,599A,implementation,False,,False,
108743,597B,dp;greedy;sortings,True,greedy,False,
75874,592C,math,False,,True,divide and conquer
133788,602A,brute force;implementation,False,,True,expression parsing
118364,599C,sortings,False,,False,
143196,603C,games;math,False,,True,implementation;dfs and similar
119358,599E,bitmasks;dp;trees,True,trees,True,implementation
101601,596A,geometry;implementation,False,,False,
109105,597C,data structures;dp,True,dp,True,implementation
101742,596C,combinatorics;greedy;sortings,False,,False,
129419,601B,data structures;math,False,,True,brute force
118445,599B,implementation,False,,False,
129489,601E,data structures;dp,True,dp,False,
161617,606A,implementation,False,,False,
112137,598D,dfs and similar;graphs;shortest paths,True,dfs and similar,True,implementation
133845,602B,dp;implementation;two pointers,True,two pointers,False,
129246,601C,dp;math;probabilities,True,probabilities,True,implementation
112424,598C,geometry;sortings,False,,False,
147830,604A,implementation,False,,True,expression parsing
135140,602E,probabilities,False,,False,
112077,598E,brute force;dp,True,dp,False,
156010,605A,constructive algorithms;greedy,False,,True,binary search;dp
134367,602D,math,False,,True,implementation;data structures
148341,604E,games;math,True,games,False,
129325,601A,graphs;shortest paths,True,shortest paths,False,
156003,605E,probabilities;shortest paths,True,probabilities,False,
161624,606C,,False,,False,
174534,608A,implementation;math,False,,False,
147951,604C,constructive algorithms;dp;greedy;math,False,,True,implementation
143071,603A,dp;greedy;math,False,,True,strings
143252,603B,combinatorics;dfs and similar;dsu;math;number theory,False,,False,
148114,604D,combinatorics;dsu;math;number theory,False,,False,
174497,608B,combinatorics;strings,False,,False,
178590,609A,greedy;implementation;sortings,True,greedy,False,
156160,605C,geometry,False,,True,binary search
156144,605D,data structures;dfs and similar,False,,False,
192311,611B,bitmasks;brute force;implementation,True,implementation,False,
161613,606D,graphs,False,,False,
168932,607C,hashing;strings,False,,False,
185783,610A,combinatorics;math,False,,False,
147780,604B,binary search;greedy,True,binary search,True,two pointers
156125,605B,constructive algorithms;data structures;graphs,False,,False,
168425,607B,dp,True,dp,False,
178390,609B,constructive algorithms;implementation,False,,False,
164646,606E,,False,,True,binary search;greedy
162199,606B,implementation,False,,False,
168408,607A,binary search;dp,False,,False,
169147,607E,binary search;geometry,False,,False,
178292,609C,implementation;math,False,,False,
178306,609F,data structures;greedy,False,,True,binary search
185883,610B,constructive algorithms;implementation,True,implementation,False,
175068,608D,dp,True,dp,False,
192392,611A,implementation,False,,False,
178639,609D,binary search;greedy;two pointers,True,greedy,True,implementation
208759,613A,binary search;geometry;ternary search,False,,False,
200270,612B,implementation;math,True,implementation,False,
211002,614B,implementation;math,True,implementation,False,
192365,611C,dp;implementation,False,,False,
200214,612D,greedy;sortings,False,,False,
175836,608E,strings,False,,True,two pointers;implementation
218458,615E,binary search;implementation;math,False,,False,
193179,611E,data structures;greedy;sortings,True,greedy,False,
200570,612A,brute force;implementation;strings,True,implementation,False,
186506,610E,data structures;strings,False,,True,implementation;dp
174673,608C,dp,False,,True,implementation
200168,612C,data structures;expression parsing;math,False,,True,implementation
194640,611H,constructive algorithms;flows;graphs,False,,True,implementation;strings;greedy
