submission_id,problem,tags,match_success,matched_tags,error_match,error_tags
19821,584B,combinatorics,False,,False,
19768,584A,math,False,,False,
11553,582C,number theory,False,,False,
15926,583A,implementation,True,implementation,False,
11776,582D,dp;math;number theory,True,dp,True,dfs and similar
11501,582A,constructive algorithms;greedy;number theory,False,,False,
3,581A,implementation;math,False,,True,divide and conquer
31543,585A,brute force;implementation,False,,False,
11549,582B,constructive algorithms;dp;matrices,False,,False,
20122,584E,constructive algorithms;greedy;math,False,,False,
6,581C,implementation;math;sortings,False,,False,
31644,585E,combinatorics;math;number theory,False,,True,dp
16001,583B,greedy;implementation,False,,False,
35453,586C,implementation,False,,False,
31504,585F,dp;implementation;strings,True,dp,False,
19829,584D,brute force;math;number theory,False,,False,
17873,583E,number theory,False,,True,dp
45907,588B,math,False,,False,
35394,586B,implementation,False,,False,
35393,586A,implementation,False,,False,
87,581D,bitmasks;brute force;constructive algorithms;geometry;implementation;math,False,,False,
55503,589C,,,,,
43241,587B,dp,False,,True,implementation
1,581B,implementation;math,False,,False,
55246,589I,,,,,
45970,588C,,False,,False,
47057,588E,data structures;dfs and similar;trees,True,trees,False,
43242,587E,data structures,False,,False,
56363,589E,,,,,
43205,587A,greedy,True,greedy,False,
69337,591B,implementation;strings,False,,False,
31790,585C,number theory,False,,False,
75874,592C,math,False,,False,
55387,589A,,,,,
55394,589G,,,,,
69622,591C,constructive algorithms;implementation,False,,False,
55393,589D,,,,,
75817,592A,implementation,False,,False,
56371,589M,,,,,
55390,589F,,,,,
64065,590A,implementation,False,,False,
46775,588D,,False,,False,
76824,592E,binary search;geometry;two pointers,False,,False,
84059,593B,geometry;sortings,False,,False,
55395,589H,,,,,
55271,589B,,,,,
96634,595A,constructive algorithms;implementation,False,,True,data structures
91549,594B,binary search;geometry,True,binary search,False,
69584,591E,dfs and similar;graphs;shortest paths,True,shortest paths,False,
56242,589K,,,,,
91551,594C,brute force;greedy;implementation;two pointers,False,,True,data structures
83873,593A,brute force;implementation,False,,False,
69382,591A,implementation;math,False,,False,
108743,597B,dp;greedy;sortings,True,greedy,False,
101612,596B,greedy;implementation,False,,False,
112081,598B,implementation;strings,False,,False,
108733,597A,math,False,,False,
84138,593C,constructive algorithms;math,False,,False,
112112,598A,math,False,,False,
118342,599A,implementation,False,,False,
96588,595C,games,False,,False,
101961,596D,dp;math;probabilities;sortings,False,,True,trees
101742,596C,combinatorics;greedy;sortings,False,,False,
119358,599E,bitmasks;dp;trees,True,dp;trees,False,
98122,595D,geometry,False,,True,binary search;divide and conquer
133788,602A,brute force;implementation,False,,False,
109105,597C,data structures;dp,False,,False,
129419,601B,data structures;math,False,,False,
101601,596A,geometry;implementation,False,,False,
112077,598E,brute force;dp,True,dp,False,
112137,598D,dfs and similar;graphs;shortest paths,True,dfs and similar,True,dp
133845,602B,dp;implementation;two pointers,True,dp,False,
