submission_id,problem,tags,match_success,matched_tags,error_match,error_tags
1,581B,implementation;math,True,implementation,False,
3,581A,implementation;math,True,implementation,False,
6,581C,implementation;math;sortings,False,,False,
87,581D,bitmasks;brute force;constructive algorithms;geometry;implementation;math,False,,True,expression parsing
975,581F,dp;trees;two pointers,True,dp,True,dfs and similar
4135,581E,dp;greedy,True,dp,True,implementation
11501,582A,constructive algorithms;greedy;number theory,False,,False,
11549,582B,constructive algorithms;dp;matrices,True,matrices,False,
11553,582C,number theory,False,,False,
11776,582D,dp;math;number theory,False,,False,
11872,582E,bitmasks;dp;expression parsing,True,expression parsing,False,
15926,583A,implementation,False,,False,
16001,583B,greedy;implementation,False,,False,
16181,583C,constructive algorithms;number theory,False,,True,expression parsing
16484,583D,constructive algorithms;dp,True,dp,False,
17873,583E,number theory,False,,True,dp
19768,584A,math,False,,False,
19769,584C,constructive algorithms;greedy;strings,False,,True,implementation
19821,584B,combinatorics,False,,False,
19829,584D,brute force;math;number theory,False,,True,implementation
20122,584E,constructive algorithms;greedy;math,False,,False,
31486,585B,dfs and similar;graphs;shortest paths,True,dfs and similar,True,expression parsing
31504,585F,dp;implementation;strings,False,,False,
31543,585A,brute force;implementation,False,,False,
31553,585D,meet-in-the-middle,False,,True,divide and conquer;dfs and similar;data structures
31644,585E,combinatorics;math;number theory,False,,True,dp;expression parsing
31790,585C,number theory,False,,False,
35393,586A,implementation,True,implementation,False,
35394,586B,implementation,False,,True,expression parsing
35420,586D,dfs and similar;dp;graphs;shortest paths,False,,True,expression parsing
35453,586C,implementation,False,,False,
35685,586F,meet-in-the-middle,True,meet-in-the-middle,False,
37058,586E,number theory,False,,True,dfs and similar
43205,587A,greedy,True,greedy,False,
43237,587C,data structures;trees,False,,True,dfs and similar
43241,587B,dp,True,dp,True,expression parsing
43242,587E,data structures,False,,False,
43258,587F,,,,,
43686,587D,2-sat;binary search,True,binary search,False,
45907,588B,math,False,,False,
45925,588A,greedy,False,,False,
45970,588C,,False,,False,
46775,588D,,False,,True,dp;expression parsing
47057,588E,data structures;dfs and similar;trees,True,dfs and similar,False,
55179,589J,,,,,
55246,589I,,,,,
55271,589B,,,,,
55387,589A,,,,,
55390,589F,,,,,
55393,589D,,,,,
55394,589G,,,,,
55395,589H,,,,,
55503,589C,,,,,
56242,589K,,,,,
56363,589E,,,,,
56371,589M,,,,,
64042,590B,binary search;geometry;math,True,binary search,True,expression parsing
64065,590A,implementation,False,,False,
64080,590C,dfs and similar;graphs;shortest paths,True,shortest paths,False,
64088,590D,dp,False,,True,implementation
64160,590E,graph matchings;strings,True,strings,False,
69337,591B,implementation;strings,False,,False,
69382,591A,implementation;math,True,implementation,False,
69584,591E,dfs and similar;graphs;shortest paths,False,,False,
69600,591D,geometry,False,,True,binary search
69622,591C,constructive algorithms;implementation,True,implementation,False,
75817,592A,implementation,False,,True,strings
75874,592C,math,False,,False,
75920,592B,math,False,,True,divide and conquer
76156,592D,dfs and similar;dp;graphs;trees,True,dfs and similar,False,
76824,592E,binary search;geometry;two pointers,False,,False,
83873,593A,brute force;implementation,False,,False,
83937,593E,dp;matrices,True,matrices,False,
83954,593D,data structures;dfs and similar;graphs;math;trees,True,data structures;dfs and similar,False,
84059,593B,geometry;sortings,False,,True,implementation
84138,593C,constructive algorithms;math,False,,True,implementation
91368,594D,data structures;number theory,False,,False,
91380,594A,games,False,,True,implementation
91549,594B,binary search;geometry,True,binary search,True,implementation
91551,594C,brute force;greedy;implementation;two pointers,False,,False,
91554,594E,string suffix structures;strings,True,string suffix structures;strings,False,
96588,595C,games,False,,False,
96634,595A,constructive algorithms;implementation,False,,True,expression parsing
96669,595B,binary search;math,False,,False,
98122,595D,geometry,False,,True,binary search
101601,596A,geometry;implementation,False,,False,
101612,596B,greedy;implementation,False,,False,
101742,596C,combinatorics;greedy;sortings,False,,True,expression parsing
101861,596E,dfs and similar;dp;graphs;strings,True,dfs and similar,True,implementation;string suffix structures
101961,596D,dp;math;probabilities;sortings,False,,True,trees;dfs and similar
108733,597A,math,False,,False,
108743,597B,dp;greedy;sortings,True,greedy,False,
109105,597C,data structures;dp,False,,False,
112077,598E,brute force;dp,True,dp,False,
112081,598B,implementation;strings,False,,False,
112112,598A,math,False,,False,
112137,598D,dfs and similar;graphs;shortest paths,False,,False,
112424,598C,geometry;sortings,False,,True,implementation
113838,598F,geometry,False,,False,
118342,599A,implementation,False,,False,
118364,599C,sortings,False,,True,string suffix structures
118443,599D,brute force;math,False,,False,
118445,599B,implementation,False,,False,
119358,599E,bitmasks;dp;trees,True,dp;trees,True,dfs and similar
129246,601C,dp;math;probabilities,True,dp;probabilities,False,
129325,601A,graphs;shortest paths,False,,False,
129400,601D,data structures;dfs and similar;dsu;hashing;strings;trees,True,data structures,True,expression parsing
129419,601B,data structures;math,False,,False,
129489,601E,data structures;dp,True,data structures;dp,True,dfs and similar
133788,602A,brute force;implementation,False,,False,
133845,602B,dp;implementation;two pointers,False,,False,
133853,602C,graphs,False,,True,implementation;matrices
134367,602D,math,False,,False,
135140,602E,probabilities,True,probabilities,True,dp
143071,603A,dp;greedy;math,False,,True,string suffix structures;strings
143196,603C,games;math,True,games,False,
143199,603D,geometry;math,False,,False,
143202,603E,data structures;divide and conquer;dsu;math;trees,True,data structures;trees,False,
143252,603B,combinatorics;dfs and similar;dsu;math;number theory,False,,False,
147780,604B,binary search;greedy,False,,False,
147830,604A,implementation,False,,False,
147951,604C,constructive algorithms;dp;greedy;math,False,,True,implementation
148114,604D,combinatorics;dsu;math;number theory,False,,False,
148341,604E,games;math,False,,False,
156003,605E,probabilities;shortest paths,True,probabilities,False,
156010,605A,constructive algorithms;greedy,False,,False,
156125,605B,constructive algorithms;data structures;graphs,False,,False,
156144,605D,data structures;dfs and similar,True,data structures,False,
156160,605C,geometry,False,,True,binary search;ternary search
161613,606D,graphs,False,,False,
161617,606A,implementation,False,,False,
161624,606C,,False,,False,
162199,606B,implementation,True,implementation,False,
164646,606E,,False,,True,implementation;ternary search
168408,607A,binary search;dp,True,dp,True,expression parsing
168425,607B,dp,True,dp,False,
168892,607D,data structures;trees,True,data structures,True,dfs and similar
168932,607C,hashing;strings,False,,False,
169147,607E,binary search;geometry,True,binary search;geometry,True,trees;expression parsing;data structures
174497,608B,combinatorics;strings,False,,False,
174534,608A,implementation;math,False,,False,
174673,608C,dp,False,,False,
175068,608D,dp,False,,True,implementation
175836,608E,strings,False,,False,
178292,609C,implementation;math,True,implementation,False,
178306,609F,data structures;greedy,True,data structures,True,binary search
178372,609E,data structures;dfs and similar;dsu;graphs;trees,False,,False,
178390,609B,constructive algorithms;implementation,False,,False,
178590,609A,greedy;implementation;sortings,False,,False,
178639,609D,binary search;greedy;two pointers,True,binary search,False,
185739,610D,constructive algorithms;data structures;geometry;two pointers,False,,False,
185783,610A,combinatorics;math,False,,False,
185877,610C,constructive algorithms,False,,False,
185883,610B,constructive algorithms;implementation,False,,False,
186506,610E,data structures;strings,False,,False,
192311,611B,bitmasks;brute force;implementation,False,,False,
192365,611C,dp;implementation,False,,False,
192392,611A,implementation,False,,False,
192461,611D,dp;hashing;strings,True,dp,True,string suffix structures;data structures
193179,611E,data structures;greedy;sortings,False,,True,expression parsing
193180,611F,binary search;implementation,False,,False,
193181,611G,geometry;two pointers,False,,False,
194640,611H,constructive algorithms;flows;graphs,False,,False,
200168,612C,data structures;expression parsing;math,False,,False,
200214,612D,greedy;sortings,False,,False,
200270,612B,implementation;math,False,,False,
200570,612A,brute force;implementation;strings,True,implementation,False,
200724,612E,combinatorics;constructive algorithms;dfs and similar;graphs;math,False,,False,
201028,612F,dp,False,,False,
208621,613B,binary search;brute force;dp;greedy;sortings;two pointers,True,binary search,False,
208643,613D,dfs and similar;divide and conquer;dp;graphs;sortings;trees,True,dfs and similar;dp,False,
208759,613A,binary search;geometry;ternary search,False,,False,
208764,613C,constructive algorithms;math,False,,True,implementation
209531,613E,dp;hashing;strings,False,,False,
210995,614D,dp;greedy;sortings,False,,True,binary search
210996,614A,brute force;implementation,False,,False,
211002,614B,implementation;math,False,,False,
211122,614C,geometry,False,,False,
213660,614E,constructive algorithms;math,False,,True,implementation
217915,615D,math;number theory,False,,False,
218045,615A,implementation,False,,False,
218090,615B,dp;graphs,False,,True,dfs and similar
218317,615C,dp;greedy;strings;trees,False,,False,
218458,615E,binary search;implementation;math,True,binary search,False,
224151,616C,dfs and similar,True,dfs and similar,False,
224206,616D,binary search;data structures;two pointers,True,two pointers,True,implementation
224283,616B,games;greedy,False,,False,
224339,616A,implementation;strings,True,strings,False,
224382,616E,implementation;math;number theory,False,,True,dfs and similar
224402,616F,data structures;sortings;string suffix structures;strings,True,string suffix structures;strings,True,implementation;dp
230363,617E,data structures,False,,False,
230367,617A,math,False,,False,
230535,617B,combinatorics,False,,True,implementation
230632,617D,constructive algorithms;implementation,False,,False,
230661,617C,implementation,False,,True,expression parsing
239732,618A,implementation,True,implementation,False,
239736,618B,constructive algorithms,False,,False,
239747,618C,geometry;implementation,False,,True,expression parsing
239856,618F,constructive algorithms;two pointers,False,,False,
239869,618D,dfs and similar;dp;graph matchings;greedy;trees,True,dfs and similar,False,
240349,618E,data structures;geometry,False,,False,
241063,618G,dp;math;matrices;probabilities,True,dp;probabilities,False,
244637,620C,greedy,False,,True,implementation
244645,620E,bitmasks;data structures;trees,False,,False,
244665,620A,implementation;math,False,,False,
244683,620B,implementation,False,,False,
245547,620D,binary search;two pointers,True,binary search,False,
246046,620F,data structures;strings;trees,True,data structures,False,
249797,621E,dp;matrices,True,dp,False,
249812,621B,combinatorics;implementation,False,,True,data structures
249813,621A,implementation,False,,False,
249912,621D,brute force;constructive algorithms;math,False,,True,implementation
250022,621C,combinatorics;math;number theory;probabilities,False,,True,expression parsing
258060,622B,implementation,False,,True,expression parsing
258061,622A,implementation;math,False,,True,binary search
258140,622E,dfs and similar;greedy;sortings;trees,True,trees,True,data structures
258182,622C,data structures;implementation,False,,False,
258213,622F,math,False,,False,
258309,622D,constructive algorithms,False,,True,implementation
268137,623A,constructive algorithms;graphs,False,,False,
268145,623B,dp;greedy;number theory,True,dp,False,
268270,623C,binary search;dp,True,binary search,True,string suffix structures;expression parsing
268565,623D,greedy;math;probabilities,True,probabilities,False,
268633,623E,combinatorics;dp;fft;math,False,,False,
272360,624B,greedy;sortings,False,,True,dfs and similar
272361,624A,math,False,,False,
272485,624D,dp;greedy;number theory,True,dp,False,
273055,624C,constructive algorithms;dfs and similar;graphs,True,dfs and similar,False,
273966,624E,,False,,True,binary search;string suffix structures
276028,625C,constructive algorithms;implementation,False,,False,
276232,625A,implementation;math,False,,False,
276289,625B,constructive algorithms;greedy;strings,False,,True,string suffix structures;dp
277093,625D,constructive algorithms;implementation;math,False,,False,
279022,625E,data structures;greedy,True,data structures,False,
284580,626B,constructive algorithms;dp;math,False,,False,
284581,626A,brute force;implementation,False,,False,
284587,626C,brute force;greedy;math;number theory,False,,False,
284588,626D,brute force;combinatorics;dp;probabilities,True,probabilities,False,
285001,626F,dp,True,dp,True,implementation
285017,626E,binary search;math;ternary search,False,,False,
285795,626G,data structures;dp;greedy;math,False,,False,
293441,627B,data structures,True,data structures,True,implementation
293546,627C,data structures;divide and conquer;greedy,False,,False,
293603,627A,dp;math,False,,True,implementation
293768,627D,binary search;dfs and similar;dp;graphs;greedy;trees,True,binary search;dfs and similar,False,
293810,627E,two pointers,False,,True,expression parsing;data structures
293824,627F,dfs and similar;dsu;graphs;trees,True,dfs and similar;trees,True,data structures
297601,628C,greedy;strings,False,,False,
297611,628A,implementation;math,False,,False,
297638,628B,dp,False,,True,strings
297766,628E,data structures;implementation,False,,False,
297792,628F,flows;graphs,False,,True,expression parsing
297839,628D,dp,True,dp,True,strings
303112,629B,brute force,False,,True,expression parsing
303113,629A,brute force;combinatorics;constructive algorithms;implementation,False,,False,
303119,629D,data structures;dp,True,dp,False,
303554,629C,dp;strings,True,dp;strings,False,
304310,629E,combinatorics;data structures;dfs and similar;dp;probabilities;trees,True,dfs and similar;probabilities;trees,False,
307903,630C,combinatorics;math,False,,False,
307911,630F,combinatorics;math,False,,True,implementation
307917,630D,math,False,,False,
307952,630A,number theory,False,,False,
307987,630R,games;math,False,,False,
307992,630J,math;number theory,False,,False,
308031,630K,math;number theory,False,,True,implementation
308042,630B,math,False,,False,
308143,630E,math,False,,False,
308145,630G,combinatorics;math,False,,False,
308146,630I,combinatorics;math,False,,False,
308148,630L,implementation;math,False,,False,
308151,630M,geometry;math,False,,False,
308152,630Q,geometry;math,False,,False,
308153,630P,geometry,False,,False,
308156,630N,math,False,,False,
308403,630O,geometry,False,,False,
308432,630H,combinatorics;math,False,,False,
315047,631A,brute force;implementation,False,,False,
315075,631D,data structures;hashing;implementation;string suffix structures;strings,True,strings,True,dfs and similar;expression parsing
315163,631C,data structures;sortings,False,,False,
315180,631B,constructive algorithms;implementation,False,,False,
315722,631E,data structures;dp;geometry,False,,False,
323225,632C,sortings;strings,True,strings,False,
323278,632A,,False,,False,
323287,632D,brute force;math;number theory,False,,False,
323288,632B,brute force;constructive algorithms,False,,True,string suffix structures
323346,632E,divide and conquer;dp;fft;math,True,fft,True,implementation
323727,632F,brute force;divide and conquer;graphs;matrices;trees,False,,True,dfs and similar
327735,633A,brute force;math;number theory,False,,False,
327795,633B,brute force;constructive algorithms;math;number theory,False,,False,
327797,633H,data structures;implementation,True,data structures,True,binary search
327914,633C,data structures;dp;hashing;implementation;sortings;string suffix structures;strings,True,dp,False,
328170,633D,brute force;dp;hashing;implementation;math,False,,False,
328171,633E,binary search;constructive algorithms;data structures;probabilities;two pointers,True,binary search;probabilities,False,
328217,633G,bitmasks;data structures;dfs and similar;math;number theory,True,dfs and similar,True,trees
328631,633F,dfs and similar;dp;graphs;trees,True,dfs and similar,False,
337818,634A,constructive algorithms;implementation,True,implementation,False,
337831,634B,constructive algorithms;dp;implementation;math,False,,False,
337855,634E,binary search;dfs and similar;graphs;greedy,True,binary search;dfs and similar,False,
337860,634F,two pointers,False,,True,expression parsing
337884,634C,data structures,False,,False,
337889,634D,data structures;divide and conquer;greedy,False,,False,
344359,635D,data structures,True,data structures,True,trees
344361,635B,,False,,True,implementation;expression parsing
344382,635A,brute force;implementation,False,,False,
344389,635C,dp;math,False,,False,
344920,635E,data structures;greedy,True,data structures,False,
354627,637B,binary search;constructive algorithms;data structures;sortings,False,,False,
354671,637A,constructive algorithms;implementation,False,,False,
354706,637C,brute force;constructive algorithms;implementation,False,,True,strings
354720,637D,data structures;dp;greedy,False,,False,
363101,638A,constructive algorithms;math,False,,False,
363119,638C,dfs and similar;graphs;greedy;trees,True,dfs and similar;trees,False,
363123,638B,dfs and similar;strings,False,,False,
363152,638D,brute force;dfs and similar;graphs,True,dfs and similar,True,expression parsing
368165,639B,constructive algorithms;graphs;trees,False,,False,
368167,639A,implementation,False,,False,
368339,639F,data structures;dfs and similar;graphs;trees,True,dfs and similar,False,
368650,639E,binary search;greedy;math;sortings,False,,True,string suffix structures
368958,639C,hashing;implementation;math,False,,False,
368962,639D,data structures;greedy;sortings;two pointers,False,,False,
376001,641E,data structures,True,data structures,False,
376007,641C,brute force;constructive algorithms;implementation,False,,False,
376048,641A,implementation,False,,False,
376161,641B,implementation,False,,False,
376507,641D,dp;implementation;math;probabilities,True,probabilities,False,
376554,641F,,False,,True,dfs and similar;2-sat;graphs
376556,641G,,False,,True,trees
385739,643A,implementation,False,,False,
385745,643C,dp,True,dp,True,divide and conquer;data structures
385760,643B,constructive algorithms;graphs,False,,False,
385810,643E,dp;math;probabilities;trees,True,dp;probabilities;trees,False,
